69072;;;;;;;;;258;263,5;;;;;PEAK5;23.10.2019;PEAK5_W-44-19;W;19;;;44.0;2019-10-23/PEAK5_W-44-19
69073;;;;;;;;;245;270;;;;;PEAK5;23.10.2019;PEAK5_W-45-19;W;19;;;45.0;2019-10-23/PEAK5_W-45-19
69074;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_W-46-19;W;19;;;46.0;2019-10-23/PEAK5_W-46-19
69075;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_W-47-19;W;19;;;47.0;2019-10-23/PEAK5_W-47-19
69076;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_W-48-19;W;19;;;48.0;2019-10-23/PEAK5_W-48-19
69077;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_W-49-19;W;19;;;49.0;2019-10-23/PEAK5_W-49-19
69078;273;274;273;274,5;5700;20;1561671,75;18;274,5;273;32490;114;42465;149;PEAK5;23.10.2019;PEAK5_M-11-19;M;19;;11.0;;2019-10-23/PEAK5_M-11-19
69079;;267,25;;;;;;;265,5;269;17400;58;24000;80;PEAK5;23.10.2019;PEAK5_M-12-19;M;19;;12.0;;2019-10-23/PEAK5_M-12-19
69080;;279,5;;;;;;;;;1890;6;1890;6;PEAK5;23.10.2019;PEAK5_M-01-20;M;20;;1.0;;2019-10-23/PEAK5_M-01-20
69081;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_M-02-20;M;20;;2.0;;2019-10-23/PEAK5_M-02-20
69082;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_M-03-20;M;20;;3.0;;2019-10-23/PEAK5_M-03-20
69083;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_M-04-20;M;20;;4.0;;2019-10-23/PEAK5_M-04-20
69084;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_M-05-20;M;20;;5.0;;2019-10-23/PEAK5_M-05-20
69085;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_M-06-20;M;20;;6.0;;2019-10-23/PEAK5_M-06-20
69086;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_M-07-20;M;20;;7.0;;2019-10-23/PEAK5_M-07-20
69087;292,5;293,46;292,5;294;14175;15;4157763,75;7;294;292,5;115290;122;133245;141;PEAK5;23.10.2019;PEAK5_Q-1-20;Q;20;1.0;;;2019-10-23/PEAK5_Q-1-20
69088;;305;;;;;;;300;306;10230;11;11160;12;PEAK5;23.10.2019;PEAK5_Q-2-20;Q;20;2.0;;;2019-10-23/PEAK5_Q-2-20
69089;;322;;;;;;;320;320,5;8910;9;10890;11;PEAK5;23.10.2019;PEAK5_Q-3-20;Q;20;3.0;;;2019-10-23/PEAK5_Q-3-20
69090;;;;;;;;;294;300;;;;;PEAK5;23.10.2019;PEAK5_Q-4-20;Q;20;4.0;;;2019-10-23/PEAK5_Q-4-20
69091;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_Q-1-21;Q;21;1.0;;;2019-10-23/PEAK5_Q-1-21
69092;;;;;;;;;;;;;;;PEAK5;23.10.2019;PEAK5_Q-2-21;Q;21;2.0;;;2019-10-23/PEAK5_Q-2-21
69093;306;306,63;305,6;307;168300;44;51517012,5;32;307;305,6;9302400;2432;13261275;3467;PEAK5;23.10.2019;PEAK5_Y-20;Y;20;;;;2019-10-23/PEAK5_Y-20
69094;309;309;309;309;60960;16;18836640;15;309;309;1443990;379;1764030;463;PEAK5;23.10.2019;PEAK5_Y-21;Y;21;;;;2019-10-23/PEAK5_Y-21
69095;309;309,25;309;309,5;7560;2;2337930;2;309,5;309;147420;39;147420;39;PEAK5;23.10.2019;PEAK5_Y-22;Y;22;;;;2019-10-23/PEAK5_Y-22
